Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,351
design__inferred_latch__count,0
design__instance__count,4962
design__instance__area,51007.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 225.0 450.0
design__core__bbox,5.52 10.88 219.42 437.92
design__io,764
design__die__area,101250
design__core__area,91343.9
design__instance__count__stdcell,6234
design__instance__area__stdcell,52599.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.575837
design__instance__utilization__stdcell,0.575837
design__rows,157
design__rows:unithd,157
design__sites,73005
design__sites:unithd,73005
design__instance__count__class:buffer,369
design__instance__area__class:buffer,1951.87
design__instance__count__class:inverter,255
design__instance__area__class:inverter,977.187
design__instance__count__class:sequential_cell,878
design__instance__area__class:sequential_cell,13462.9
design__instance__count__class:multi_input_combinational_cell,1982
design__instance__area__class:multi_input_combinational_cell,25787.2
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1139
design__instance__area__class:timing_repair_buffer,7778.71
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,296290
design__violations,0
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,203.946
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,27.5264
design__instance__count__setup_buffer,202
design__instance__count__hold_buffer,0
antenna__violating__nets,83
antenna__violating__pins,103
route__antenna_violation__count,83
antenna_diodes_count,327
design__instance__count__class:antenna_cell,327
design__instance__area__class:antenna_cell,818.285
route__net,5013
route__net__special,2
route__drc_errors__iter:0,9296
route__wirelength__iter:0,367324
route__drc_errors__iter:1,5580
route__wirelength__iter:1,361629
route__drc_errors__iter:2,5064
route__wirelength__iter:2,359923
route__drc_errors__iter:3,2318
route__wirelength__iter:3,360209
route__drc_errors__iter:4,1044
route__wirelength__iter:4,360103
route__drc_errors__iter:5,697
route__wirelength__iter:5,360126
route__drc_errors__iter:6,541
route__wirelength__iter:6,359995
route__drc_errors__iter:7,541
route__wirelength__iter:7,359997
route__drc_errors__iter:8,430
route__wirelength__iter:8,359880
route__drc_errors__iter:9,259
route__wirelength__iter:9,359692
route__drc_errors__iter:10,82
route__wirelength__iter:10,359589
route__drc_errors__iter:11,80
route__wirelength__iter:11,359557
route__drc_errors__iter:12,66
route__wirelength__iter:12,359488
route__drc_errors__iter:13,49
route__wirelength__iter:13,359489
route__drc_errors__iter:14,42
route__wirelength__iter:14,359487
route__drc_errors__iter:15,28
route__wirelength__iter:15,359489
route__drc_errors__iter:16,17
route__wirelength__iter:16,359476
route__drc_errors__iter:17,16
route__wirelength__iter:17,359394
route__drc_errors__iter:18,7
route__wirelength__iter:18,359392
route__drc_errors__iter:19,0
route__wirelength__iter:19,359397
route__drc_errors,0
route__wirelength,359397
route__vias,49681
route__vias__singlecut,49681
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,919.24
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79898
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00102491
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00073669
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000533628
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00073669
design_powergrid__voltage__worst,0.00073669
design_powergrid__voltage__worst__net:VPWR,1.79898
design_powergrid__drop__worst,0.00102491
design_powergrid__drop__worst__net:VPWR,0.00102491
design_powergrid__voltage__worst__net:VGND,0.00073669
design_powergrid__drop__worst__net:VGND,0.00073669
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000592999999999999980577168601225679367416887544095516204833984375
ir__drop__worst,0.001020000000000000073274719625260331667959690093994140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
