Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,213
design__inferred_latch__count,0
design__instance__count,2332
design__instance__area,27560.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 205.0 225.0
design__core__bbox,5.52 10.88 199.18 212.16
design__io,510
design__die__area,46125
design__core__area,38979.9
design__instance__count__stdcell,2864
design__instance__area__stdcell,28225.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.724112
design__instance__utilization__stdcell,0.724112
design__rows,74
design__rows:unithd,74
design__sites,31154
design__sites:unithd,31154
design__instance__count__class:buffer,226
design__instance__area__class:buffer,1106.06
design__instance__count__class:inverter,47
design__instance__area__class:inverter,183.926
design__instance__count__class:sequential_cell,624
design__instance__area__class:sequential_cell,9409.02
design__instance__count__class:multi_input_combinational_cell,754
design__instance__area__class:multi_input_combinational_cell,11850.1
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,674
design__instance__area__class:timing_repair_buffer,4857.16
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4084.1
design__instance__displacement__mean,1.355
design__instance__displacement__max,29.44
route__wirelength__estimated,140803
design__violations,0
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,153.898
design__instance__count__setup_buffer,67
design__instance__count__hold_buffer,8
antenna__violating__nets,80
antenna__violating__pins,88
route__antenna_violation__count,80
route__net,2586
route__net__special,2
route__drc_errors__iter:0,5414
route__wirelength__iter:0,176611
route__drc_errors__iter:1,2773
route__wirelength__iter:1,173809
route__drc_errors__iter:2,2675
route__wirelength__iter:2,172830
route__drc_errors__iter:3,1091
route__wirelength__iter:3,173053
route__drc_errors__iter:4,514
route__wirelength__iter:4,172996
route__drc_errors__iter:5,313
route__wirelength__iter:5,173020
route__drc_errors__iter:6,227
route__wirelength__iter:6,173010
route__drc_errors__iter:7,62
route__wirelength__iter:7,172990
route__drc_errors__iter:8,22
route__wirelength__iter:8,172923
route__drc_errors__iter:9,0
route__wirelength__iter:9,172842
route__drc_errors,0
route__wirelength,172842
route__vias,25151
route__vias__singlecut,25151
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,816.8
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000445618
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000457473
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000109164
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000457473
design_powergrid__voltage__worst,0.0000457473
design_powergrid__voltage__worst__net:VPWR,1.79996
design_powergrid__drop__worst,0.0000457473
design_powergrid__drop__worst__net:VPWR,0.0000445618
design_powergrid__voltage__worst__net:VGND,0.0000457473
design_powergrid__drop__worst__net:VGND,0.0000457473
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000011199999999999999493178852449926097278876113705337047576904296875
ir__drop__worst,0.000044599999999999999887589918756702900282107293605804443359375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
