Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,203
design__instance__area,842.058
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 168.75 56.25
design__core__bbox,5.52 10.88 162.84 43.52
design__io,180
design__die__area,9492.19
design__core__area,5134.92
design__instance__count__stdcell,287
design__instance__area__stdcell,947.158
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.184454
design__instance__utilization__stdcell,0.184454
design__rows,12
design__rows:unithd,12
design__sites,4104
design__sites:unithd,4104
design__instance__count__class:buffer,89
design__instance__area__class:buffer,335.322
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,12076.8
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,3.7536
design__instance__count__class:timing_repair_buffer,88
design__instance__area__class:timing_repair_buffer,440.422
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,4
antenna__violating__pins,4
route__antenna_violation__count,4
antenna_diodes_count,25
design__instance__count__class:antenna_cell,25
design__instance__area__class:antenna_cell,62.56
route__net,267
route__net__special,2
route__drc_errors__iter:0,55
route__wirelength__iter:0,12122
route__drc_errors__iter:1,5
route__wirelength__iter:1,12126
route__drc_errors__iter:2,10
route__wirelength__iter:2,12113
route__drc_errors__iter:3,0
route__wirelength__iter:3,12112
route__drc_errors,0
route__wirelength,12112
route__vias,1019
route__vias__singlecut,1019
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,134.23
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000117624
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000178538
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000029872
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000178538
design_powergrid__voltage__worst,0.0000178538
design_powergrid__voltage__worst__net:VPWR,1.79999
design_powergrid__drop__worst,0.0000178538
design_powergrid__drop__worst__net:VPWR,0.0000117624
design_powergrid__voltage__worst__net:VGND,0.0000178538
design_powergrid__drop__worst__net:VGND,0.0000178538
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000225999999999999996125820377057547005961168906651437282562255859375
ir__drop__worst,0.000011800000000000000524818903613333276325647602789103984832763671875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
