Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,192
design__instance__area,814.531
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 120.06 55.76
design__core__bbox,5.52 10.88 114.54 43.52
design__io,180
design__die__area,6694.55
design__core__area,3558.41
design__instance__count__stdcell,248
design__instance__area__stdcell,884.598
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.248594
design__instance__utilization__stdcell,0.248594
design__rows,12
design__rows:unithd,12
design__sites,2844
design__sites:unithd,2844
design__instance__count__class:buffer,89
design__instance__area__class:buffer,335.322
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,9584.49
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,3.7536
design__instance__count__class:timing_repair_buffer,88
design__instance__area__class:timing_repair_buffer,440.422
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,14
design__instance__area__class:antenna_cell,35.0336
route__net,267
route__net__special,2
route__drc_errors__iter:0,50
route__wirelength__iter:0,9579
route__drc_errors__iter:1,15
route__wirelength__iter:1,9507
route__drc_errors__iter:2,20
route__wirelength__iter:2,9531
route__drc_errors__iter:3,0
route__wirelength__iter:3,9518
route__drc_errors,0
route__wirelength,9518
route__vias,929
route__vias__singlecut,929
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,113.11
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000130402
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000174238
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000025415
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000174238
design_powergrid__voltage__worst,0.0000174238
design_powergrid__voltage__worst__net:VPWR,1.79999
design_powergrid__drop__worst,0.0000174238
design_powergrid__drop__worst__net:VPWR,0.0000130402
design_powergrid__voltage__worst__net:VGND,0.0000174238
design_powergrid__drop__worst__net:VGND,0.0000174238
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000322000000000000008722298057428634621146557037718594074249267578125
ir__drop__worst,0.000012999999999999999199967216922946278145900578238070011138916015625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
