frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,275:244
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,243:212
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,211:180
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,179:148
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,147:116
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,115:84
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,83:52
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,51:20
frame8,8,20,1111_1111_1111_1111_1111_0000_0000_0000,19:0
frame9,9,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame10,10,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame11,11,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
