Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,80
design__inferred_latch__count,0
design__instance__count,568
design__instance__area,7210.43
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 231.84 59.22
design__core__bbox,5.76 7.56 226.08 49.14
design__io,245
design__die__area,13729.6
design__core__area,9160.91
design__instance__count__stdcell,568
design__instance__area__stdcell,7210.43
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.787087
design__instance__utilization__stdcell,0.787087
design__rows,11
design__rows:CoreSite,11
design__sites,5049
design__sites:CoreSite,5049
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
design__instance__count__class:sequential_cell,88
design__instance__area__class:sequential_cell,2714.34
design__instance__count__class:multi_input_combinational_cell,69
design__instance__area__class:multi_input_combinational_cell,1640.22
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,235
design__instance__area__class:timing_repair_buffer,1705.54
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29154.6
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,70
design__instance__count__class:antenna_cell,70
design__instance__area__class:antenna_cell,381.024
route__net,619
route__net__special,2
route__drc_errors__iter:0,547
route__wirelength__iter:0,30780
route__drc_errors__iter:1,172
route__wirelength__iter:1,30636
route__drc_errors__iter:2,151
route__wirelength__iter:2,30548
route__drc_errors__iter:3,0
route__wirelength__iter:3,30475
route__drc_errors,0
route__wirelength,30475
route__vias,3589
route__vias__singlecut,3589
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,226.965
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19993
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000746861
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000711135
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000538943
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000711135
design_powergrid__voltage__worst,0.0000711135
design_powergrid__voltage__worst__net:VPWR,1.19993
design_powergrid__drop__worst,0.0000746861
design_powergrid__drop__worst__net:VPWR,0.0000746861
design_powergrid__voltage__worst__net:VGND,0.0000711135
design_powergrid__drop__worst__net:VGND,0.0000711135
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000537999999999999998947890211820066497239167802035808563232421875
ir__drop__worst,0.00007469999999999999969017838719054225293803028762340545654296875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
