Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,35
design__inferred_latch__count,0
design__instance__count,392
design__instance__area,2812.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 205.0 56.25
design__core__bbox,5.52 10.88 199.18 43.52
design__io,221
design__die__area,11531.2
design__core__area,6321.06
design__instance__count__stdcell,490
design__instance__area__stdcell,2935.32
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.464371
design__instance__utilization__stdcell,0.464371
design__rows,12
design__rows:unithd,12
design__sites,5052
design__sites:unithd,5052
design__instance__count__class:buffer,105
design__instance__area__class:buffer,424.157
design__instance__count__class:sequential_cell,48
design__instance__area__class:sequential_cell,720.691
design__instance__count__class:multi_input_combinational_cell,25
design__instance__area__class:multi_input_combinational_cell,623.098
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,194
design__instance__area__class:timing_repair_buffer,993.453
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,21570.1
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,3.7536
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
antenna_diodes_count,19
design__instance__count__class:antenna_cell,19
design__instance__area__class:antenna_cell,47.5456
route__net,478
route__net__special,2
route__drc_errors__iter:0,269
route__wirelength__iter:0,22630
route__drc_errors__iter:1,172
route__wirelength__iter:1,22600
route__drc_errors__iter:2,121
route__wirelength__iter:2,22453
route__drc_errors__iter:3,9
route__wirelength__iter:3,22452
route__drc_errors__iter:4,0
route__wirelength__iter:4,22440
route__drc_errors,0
route__wirelength,22440
route__vias,2496
route__vias__singlecut,2496
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,213.04
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000203898
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000129331
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000037379
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000129331
design_powergrid__voltage__worst,0.0000129331
design_powergrid__voltage__worst__net:VPWR,1.79998
design_powergrid__drop__worst,0.0000203898
design_powergrid__drop__worst__net:VPWR,0.0000203898
design_powergrid__voltage__worst__net:VGND,0.0000129331
design_powergrid__drop__worst__net:VGND,0.0000129331
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000044800000000000003054913093325506423525439458899199962615966796875
ir__drop__worst,0.0000204000000000000011944438493838305248573306016623973846435546875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
