Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,23
design__inferred_latch__count,0
design__instance__count,379
design__instance__area,3476.39
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 231.84 59.22
design__core__bbox,5.76 7.56 226.08 49.14
design__io,220
design__die__area,13729.6
design__core__area,9160.91
design__instance__count__stdcell,379
design__instance__area__stdcell,3476.39
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.379481
design__instance__utilization__stdcell,0.379481
design__rows,11
design__rows:CoreSite,11
design__sites,5049
design__sites:CoreSite,5049
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
design__instance__count__class:inverter,3
design__instance__area__class:inverter,16.3296
design__instance__count__class:sequential_cell,19
design__instance__area__class:sequential_cell,586.051
design__instance__count__class:multi_input_combinational_cell,23
design__instance__area__class:multi_input_combinational_cell,564.278
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,165
design__instance__area__class:timing_repair_buffer,1197.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,22932.5
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
antenna_diodes_count,63
design__instance__count__class:antenna_cell,63
design__instance__area__class:antenna_cell,342.922
route__net,423
route__net__special,2
route__drc_errors__iter:0,284
route__wirelength__iter:0,23530
route__drc_errors__iter:1,49
route__wirelength__iter:1,23410
route__drc_errors__iter:2,48
route__wirelength__iter:2,23355
route__drc_errors__iter:3,27
route__wirelength__iter:3,23349
route__drc_errors__iter:4,0
route__wirelength__iter:4,23336
route__drc_errors,0
route__wirelength,23336
route__vias,2019
route__vias__singlecut,2019
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,219.635
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000045377
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000530689
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000248492
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000530689
design_powergrid__voltage__worst,0.0000530689
design_powergrid__voltage__worst__net:VPWR,1.19995
design_powergrid__drop__worst,0.0000530689
design_powergrid__drop__worst__net:VPWR,0.000045377
design_powergrid__voltage__worst__net:VGND,0.0000530689
design_powergrid__drop__worst__net:VGND,0.0000530689
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000237000000000000000922005527481672970679937861859798431396484375
ir__drop__worst,0.0000453999999999999990043554609631115681622759439051151275634765625
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
