Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,256
design__instance__area,1776.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 231.84 59.22
design__core__bbox,5.76 7.56 226.08 49.14
design__io,213
design__die__area,13729.6
design__core__area,9160.91
design__instance__count__stdcell,256
design__instance__area__stdcell,1776.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.1939
design__instance__utilization__stdcell,0.1939
design__rows,11
design__rows:CoreSite,11
design__sites,5049
design__sites:CoreSite,5049
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
design__instance__count__class:multi_input_combinational_cell,1
design__instance__area__class:multi_input_combinational_cell,7.2576
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16513.3
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,754.79
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
antenna_diodes_count,45
design__instance__count__class:antenna_cell,45
design__instance__area__class:antenna_cell,244.944
route__net,316
route__net__special,2
route__drc_errors__iter:0,138
route__wirelength__iter:0,16810
route__drc_errors__iter:1,30
route__wirelength__iter:1,16720
route__drc_errors__iter:2,13
route__wirelength__iter:2,16724
route__drc_errors__iter:3,0
route__wirelength__iter:3,16708
route__drc_errors,0
route__wirelength,16708
route__vias,1187
route__vias__singlecut,1187
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,233.345
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000237815
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000338582
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000127378
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000338582
design_powergrid__voltage__worst,0.0000338582
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000338582
design_powergrid__drop__worst__net:VPWR,0.0000237815
design_powergrid__voltage__worst__net:VGND,0.0000338582
design_powergrid__drop__worst__net:VGND,0.0000338582
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000120000000000000003040102891649354432956897653639316558837890625
ir__drop__worst,0.00002379999999999999913476329826966804148469236679375171661376953125
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
