Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,210
design__instance__area,1524.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 266.4 59.22
design__core__bbox,5.76 7.56 260.64 49.14
design__io,212
design__die__area,15776.2
design__core__area,10597.9
design__instance__count__stdcell,210
design__instance__area__stdcell,1524.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.143811
design__instance__utilization__stdcell,0.143811
design__rows,11
design__rows:CoreSite,11
design__sites,5841
design__sites:CoreSite,5841
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19868.3
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,754.79
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,315
route__net__special,2
route__drc_errors__iter:0,209
route__wirelength__iter:0,20030
route__drc_errors__iter:1,19
route__wirelength__iter:1,19953
route__drc_errors__iter:2,25
route__wirelength__iter:2,19955
route__drc_errors__iter:3,0
route__wirelength__iter:3,19935
route__drc_errors,0
route__wirelength,19935
route__vias,1226
route__vias__singlecut,1226
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,161.88
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000174198
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000240058
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000108601
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000240058
design_powergrid__voltage__worst,0.0000240058
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000240058
design_powergrid__drop__worst__net:VPWR,0.0000174198
design_powergrid__voltage__worst__net:VGND,0.0000240058
design_powergrid__drop__worst__net:VGND,0.0000240058
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000096199999999999993740944226328082322652335278689861297607421875
ir__drop__worst,0.00001739999999999999942437538258399598589676315896213054656982421875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
