Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,244
design__instance__area,1015.97
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 230.0 55.76
design__core__bbox,5.52 10.88 224.48 43.52
design__io,212
design__die__area,12824.8
design__core__area,7146.85
design__instance__count__stdcell,356
design__instance__area__stdcell,1156.11
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.161765
design__instance__utilization__stdcell,0.161765
design__rows,12
design__rows:unithd,12
design__sites,5712
design__sites:unithd,5712
design__instance__count__class:buffer,105
design__instance__area__class:buffer,406.64
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19263.8
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,3.7536
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,520.499
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
antenna_diodes_count,34
design__instance__count__class:antenna_cell,34
design__instance__area__class:antenna_cell,85.0816
route__net,315
route__net__special,2
route__drc_errors__iter:0,64
route__wirelength__iter:0,19393
route__drc_errors__iter:1,32
route__wirelength__iter:1,19373
route__drc_errors__iter:2,21
route__wirelength__iter:2,19373
route__drc_errors__iter:3,0
route__wirelength__iter:3,19373
route__drc_errors,0
route__wirelength,19373
route__vias,1209
route__vias__singlecut,1209
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,235.19
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000140471
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000227112
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000261447
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000227112
design_powergrid__voltage__worst,0.0000227112
design_powergrid__voltage__worst__net:VPWR,1.79999
design_powergrid__drop__worst,0.0000227112
design_powergrid__drop__worst__net:VPWR,0.0000140471
design_powergrid__voltage__worst__net:VGND,0.0000227112
design_powergrid__drop__worst__net:VGND,0.0000227112
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000001940000000000000060442102711721901187047478742897510528564453125
ir__drop__worst,0.000013999999999999999789990039189557791132756392471492290496826171875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
