frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,605:574
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,573:542
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,541:510
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,509:478
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,477:446
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,445:414
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,413:382
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,381:350
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,349:318
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,317:286
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,285:254
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,253:222
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,221:190
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,189:158
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,157:126
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,125:94
frame16,16,32,1111_1111_1111_1111_1111_1111_1111_1111,93:62
frame17,17,32,1111_1111_1111_1111_1111_1111_1111_1111,61:30
frame18,18,30,1111_1111_1111_1111_1111_1111_1111_1100,29:0
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
