Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,62
design__inferred_latch__count,0
design__instance__count,534
design__instance__area,8319.02
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 68.64 241.92
design__core__bbox,5.76 7.56 62.88 234.36
design__io,218
design__die__area,16605.4
design__core__area,12954.8
design__instance__count__stdcell,534
design__instance__area__stdcell,8319.02
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.642157
design__instance__utilization__stdcell,0.642157
design__rows,60
design__rows:CoreSite,60
design__sites,7140
design__sites:CoreSite,7140
design__instance__count__class:buffer,101
design__instance__area__class:buffer,733.018
design__instance__count__class:inverter,2
design__instance__area__class:inverter,10.8864
design__instance__count__class:sequential_cell,116
design__instance__area__class:sequential_cell,3610.66
design__instance__count__class:multi_input_combinational_cell,97
design__instance__area__class:multi_input_combinational_cell,2382.31
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,217
design__instance__area__class:timing_repair_buffer,1574.9
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31426.9
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,18
antenna__violating__pins,18
route__antenna_violation__count,18
route__net,639
route__net__special,2
route__drc_errors__iter:0,459
route__wirelength__iter:0,33274
route__drc_errors__iter:1,117
route__wirelength__iter:1,33132
route__drc_errors__iter:2,121
route__wirelength__iter:2,33064
route__drc_errors__iter:3,25
route__wirelength__iter:3,33039
route__drc_errors__iter:4,19
route__wirelength__iter:4,33041
route__drc_errors__iter:5,8
route__wirelength__iter:5,33051
route__drc_errors__iter:6,0
route__wirelength__iter:6,33041
route__drc_errors,0
route__wirelength,33041
route__vias,3850
route__vias__singlecut,3850
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,274.875
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19993
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19996
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000739828
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000096015
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000337311
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000096015
design_powergrid__voltage__worst,0.000096015
design_powergrid__voltage__worst__net:VPWR,1.19993
design_powergrid__drop__worst,0.000096015
design_powergrid__drop__worst__net:VPWR,0.0000739828
design_powergrid__voltage__worst__net:VGND,0.000096015
design_powergrid__drop__worst__net:VGND,0.000096015
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000035200000000000001795265325288397662006900645792484283447265625
ir__drop__worst,0.000073999999999999996227843801488432973201270215213298797607421875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
