Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,211
design__instance__area,907.12
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 49.22 225.08
design__core__bbox,5.52 10.88 43.7 212.16
design__io,204
design__die__area,11078.4
design__core__area,7684.87
design__instance__count__stdcell,287
design__instance__area__stdcell,1002.21
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.130414
design__instance__utilization__stdcell,0.130414
design__rows,74
design__rows:unithd,74
design__sites,6142
design__sites:unithd,6142
design__instance__count__class:buffer,101
design__instance__area__class:buffer,380.365
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13626.7
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,3.7536
design__instance__count__class:timing_repair_buffer,100
design__instance__area__class:timing_repair_buffer,500.48
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,14
antenna__violating__pins,14
route__antenna_violation__count,14
antenna_diodes_count,9
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,22.5216
route__net,303
route__net__special,2
route__drc_errors__iter:0,21
route__wirelength__iter:0,13910
route__drc_errors__iter:1,4
route__wirelength__iter:1,13909
route__drc_errors__iter:2,2
route__wirelength__iter:2,13922
route__drc_errors__iter:3,0
route__wirelength__iter:3,13923
route__drc_errors,0
route__wirelength,13923
route__vias,1119
route__vias__singlecut,1119
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,197.97
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000133366
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000180681
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000334152
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000180681
design_powergrid__voltage__worst,0.0000180681
design_powergrid__voltage__worst__net:VPWR,1.79999
design_powergrid__drop__worst,0.0000180681
design_powergrid__drop__worst__net:VPWR,0.0000133366
design_powergrid__voltage__worst__net:VGND,0.0000180681
design_powergrid__drop__worst__net:VGND,0.0000180681
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000001039999999999999995289683661636725986454621306620538234710693359375
ir__drop__worst,0.000013299999999999999715787242504649867669286322779953479766845703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
